Project_ID,Milestone,Planned_Date,Actual_Date,Delay_Days,Risk_Category
CP-001,Go-Live,2025-07-18,2025-07-30,12,Unforeseen Events
CP-002,Execution,2025-03-05,2025-03-11,6,Dependency Conflict
CP-003,Planning,2025-12-01,2025-12-12,11,Resource Constraint
CP-004,Go-Live,2025-03-22,2025-04-05,14,Resource Constraint
CP-005,Execution,2025-06-18,2025-06-25,7,Unforeseen Events
CP-006,Execution,2025-04-12,2025-04-20,8,Scope Creep
CP-007,Planning,2025-12-08,2025-12-17,9,Dependency Conflict
CP-008,Planning,2025-11-10,2025-11-21,11,Scope Creep
CP-009,Planning,2025-01-26,2025-02-03,8,3rd Party Delay
CP-010,Planning,2025-10-08,2025-10-18,10,Unforeseen Events
CP-011,Testing,2025-01-08,2025-01-15,7,Resource Constraint
CP-012,Execution,2025-08-12,2025-08-23,11,Dependency Conflict
CP-013,Planning,2025-03-25,2025-04-05,11,Resource Constraint
CP-014,Execution,2025-03-10,2025-03-18,8,Scope Creep
CP-015,Testing,2025-02-10,2025-02-22,12,Resource Constraint
CP-016,Execution,2025-10-15,2025-10-21,6,Unforeseen Events
CP-017,Execution,2025-12-17,2025-12-24,7,Dependency Conflict
CP-018,Execution,2025-11-09,2025-11-17,8,3rd Party Delay
CP-019,Planning,2025-03-13,2025-03-23,10,Unforeseen Events
CP-020,Go-Live,2025-01-21,2025-01-26,5,Unforeseen Events
CP-021,Planning,2025-09-16,2025-09-19,3,3rd Party Delay
CP-022,Execution,2025-08-15,2025-08-24,9,3rd Party Delay
CP-023,Execution,2025-11-25,2025-12-08,13,Scope Creep
CP-024,Go-Live,2025-04-10,2025-04-18,8,Resource Constraint
CP-025,Testing,2025-11-01,2025-11-07,6,3rd Party Delay
CP-026,Go-Live,2025-07-21,2025-08-03,13,Resource Constraint
CP-027,Execution,2025-03-15,2025-03-27,12,Scope Creep
CP-028,Execution,2025-08-16,2025-08-29,13,Resource Constraint
CP-029,Go-Live,2025-05-18,2025-05-27,9,Scope Creep
CP-030,Go-Live,2025-04-27,2025-05-11,14,Resource Constraint
CP-031,Testing,2025-09-21,2025-09-29,8,Dependency Conflict
CP-032,Testing,2025-05-17,2025-05-25,8,Dependency Conflict
CP-033,Execution,2025-09-16,2025-09-28,12,3rd Party Delay
CP-034,Testing,2025-07-25,2025-08-09,15,Scope Creep
CP-035,Planning,2025-12-11,2025-12-24,13,Dependency Conflict
CP-036,Testing,2025-12-04,2025-12-17,13,3rd Party Delay
CP-037,Execution,2025-05-08,2025-05-18,10,3rd Party Delay
CP-038,Testing,2025-09-01,2025-09-09,8,Dependency Conflict
CP-039,Planning,2025-01-13,2025-01-28,15,Resource Constraint
CP-040,Execution,2025-02-23,2025-03-04,9,3rd Party Delay
CP-041,Execution,2025-04-20,2025-04-27,7,3rd Party Delay
CP-042,Testing,2025-04-15,2025-04-23,8,Unforeseen Events
CP-043,Go-Live,2025-09-17,2025-09-30,13,Scope Creep
CP-044,Testing,2025-04-04,2025-04-19,15,Resource Constraint
CP-045,Planning,2025-04-10,2025-04-18,8,Scope Creep
CP-046,Execution,2025-02-04,2025-02-11,7,Resource Constraint
CP-047,Execution,2025-02-17,2025-02-26,9,Scope Creep
CP-048,Execution,2025-07-21,2025-07-27,6,3rd Party Delay
CP-049,Planning,2025-10-24,2025-11-09,16,Resource Constraint
CP-050,Go-Live,2025-04-14,2025-04-24,10,Scope Creep
CP-051,Testing,2025-10-13,2025-10-31,18,Dependency Conflict
CP-052,Go-Live,2025-12-19,2025-12-29,10,Resource Constraint
CP-053,Go-Live,2025-09-26,2025-10-04,8,Resource Constraint
CP-054,Planning,2025-01-01,2025-01-12,11,Scope Creep
CP-055,Planning,2025-02-01,2025-02-04,3,Resource Constraint
CP-056,Execution,2025-12-22,2026-01-06,15,Dependency Conflict
CP-057,Go-Live,2025-05-15,2025-05-21,6,Scope Creep
CP-058,Planning,2025-12-02,2025-12-09,7,3rd Party Delay
CP-059,Go-Live,2025-08-11,2025-08-20,9,Dependency Conflict
CP-060,Testing,2025-08-02,2025-08-13,11,Unforeseen Events
CP-061,Go-Live,2025-11-12,2025-11-20,8,Resource Constraint
CP-062,Planning,2025-04-21,2025-05-03,12,Resource Constraint
CP-063,Go-Live,2025-05-25,2025-06-04,10,3rd Party Delay
CP-064,Testing,2025-06-23,2025-07-04,11,Resource Constraint
CP-065,Execution,2025-10-09,2025-10-21,12,Resource Constraint
CP-066,Execution,2025-12-21,2026-01-06,16,3rd Party Delay
CP-067,Go-Live,2025-07-13,2025-07-21,8,Scope Creep
CP-068,Execution,2025-03-22,2025-03-29,7,Scope Creep
CP-069,Execution,2025-03-05,2025-03-18,13,Unforeseen Events
CP-070,Planning,2025-02-16,2025-02-26,10,Resource Constraint
CP-071,Testing,2025-06-17,2025-07-02,15,Dependency Conflict
CP-072,Go-Live,2025-01-25,2025-02-02,8,Resource Constraint
CP-073,Testing,2025-06-05,2025-06-16,11,Dependency Conflict
CP-074,Testing,2025-05-08,2025-05-19,11,Resource Constraint
CP-075,Execution,2025-07-07,2025-07-12,5,3rd Party Delay
CP-076,Planning,2025-04-09,2025-04-19,10,Resource Constraint
CP-077,Planning,2025-01-12,2025-01-23,11,Dependency Conflict
CP-078,Go-Live,2025-11-24,2025-12-06,12,3rd Party Delay
CP-079,Go-Live,2025-07-18,2025-07-26,8,Dependency Conflict
CP-080,Testing,2025-02-26,2025-03-09,11,3rd Party Delay
CP-081,Execution,2025-05-17,2025-05-28,11,Unforeseen Events
CP-082,Go-Live,2025-09-21,2025-09-26,5,Scope Creep
CP-083,Go-Live,2025-02-04,2025-02-12,8,Dependency Conflict
CP-084,Planning,2025-07-19,2025-08-01,13,Unforeseen Events
CP-085,Testing,2025-12-28,2026-01-08,11,Unforeseen Events
CP-086,Planning,2025-09-23,2025-09-30,7,Scope Creep
CP-087,Go-Live,2025-06-08,2025-06-16,8,Scope Creep
CP-088,Go-Live,2025-08-11,2025-08-22,11,Scope Creep
CP-089,Testing,2025-07-12,2025-07-27,15,Scope Creep
CP-090,Planning,2025-09-28,2025-10-06,8,Dependency Conflict
CP-091,Planning,2025-07-03,2025-07-17,14,Scope Creep
CP-092,Execution,2025-12-10,2025-12-16,6,Scope Creep
CP-093,Execution,2025-10-04,2025-10-20,16,Unforeseen Events
CP-094,Planning,2025-03-12,2025-03-23,11,Scope Creep
CP-095,Go-Live,2025-09-18,2025-09-24,6,3rd Party Delay
CP-096,Testing,2025-05-19,2025-06-02,14,Resource Constraint
CP-097,Planning,2025-09-03,2025-09-15,12,Resource Constraint
CP-098,Go-Live,2025-05-12,2025-05-21,9,Resource Constraint
CP-099,Planning,2025-08-26,2025-09-05,10,Scope Creep
CP-100,Planning,2025-01-24,2025-02-06,13,Resource Constraint
